Order,Taxon,Control-1,Control-2,Control-3,,Can-1,Can-2,Can-3,Can-4,,Plastic-1,Plastic-2,Plastic-3,Plastic-4,,Biofilm-1
1,Unkown Rhodobacteraceae,2.34463432815218,3.89571840203872,11.4830740460504,,6.19129326072066,17.6384553912034,10.5075098593125,8.2363532085115,,21.5956112119819,2.63226088023895,5.80261629683966,9.00393368923855,,14.6883201132309
2,Woeseia,7.14709698793517,15.4105671633147,8.85636776348571,,7.35372908598905,6.12023341023205,11.8311750062932,5.18356649702707,,4.45814209012912,1.85349354209572,12.1232960449905,15.2493677999438,,2.1149706602188
3,Uncultured Actinomarinales,7.2126666850722,13.4203553277442,13.87725223147,,7.97903003750449,7.75847770691033,6.76516655944956,5.66126772322368,,6.21147537151184,1.36250187531539,7.65557185647044,9.81455465018264,,3.23843363901749
4,Vibrio,26.7055023329008,1.6151919262123,3.59987942987555,,11.3510434116203,4.24450777280198,4.04161888512852,4.80459987077383,,1.50708736275297,0.018412187504262,4.62054526560303,1.18572632762012,,1.19349511986554
5,Sulfurovum,0.16081830982027,0.096288895646004,0.487201727351579,,2.70195118312094,0.243512612897875,1.08732134366347,0.446483668861576,,0.681851831648835,45.9227233671117,0.229995721009842,0.073756673222815,,0.775513814761301
6,Gammaproteobacteria B2M28,3.57596421965158,5.30457698043815,2.60086982732636,,4.25774335532964,1.45202876916814,3.64165244874556,1.46359524621941,,1.36448292253384,1.19338252342439,3.39950485971025,2.64751334644563,,1.01214873352402
7,Uncultured Saprospiraceae,2.75461748709312,2.43980134080477,2.00540104945221,,1.14208980732321,2.19462915215392,1.68727099823791,3.05859462912816,,2.01594364397204,0.021821851856903,1.56030319701693,2.08134307389716,,9.7388906908855
8,Unkown Gammaproteobacteria,2.05819828276414,3.36793941763318,2.64146997127232,,2.44084395282437,1.99936671642466,2.75431432327357,2.15764140464488,,1.48916440032105,1.16542327573274,2.64915337123296,2.50280977802754,,2.09285524725032
9,Desulfosarcinaceae Sva0081,2.66074928908644,1.91781416967117,0.942415462503306,,1.45134928009007,0.963495725335866,1.90823147707885,0.853037903922522,,1.03018071021687,0.567368148279483,2.45507060333761,1.2433267771846,,0.603750774039454
10,Uncultured Syntrophobacterales,2.13136026062229,2.15962237377467,1.10666149937562,,2.01764677956446,0.86171800787081,1.75299974827287,0.884981450963025,,0.719256274984999,0.189577338006847,1.83232471422459,1.20047766226468,,0.315513225016955
11,Thermoanaerobaculaceae Subgroup 10,0.995969189144419,2.0119311353402,1.92235530047182,,1.88607586351891,0.81497564873871,1.50546807260929,0.678074384905222,,0.939007379584966,0.108427326413988,1.30738431444465,1.43579657207081,,0.910417833869018
12,Microtrichaceae Sva0996,0.492808039535076,0.902074917104672,0.818154415880808,,0.84775074771616,1.73022119690596,0.802729840852516,1.92532469889577,,1.62631402588699,0.027959247691657,1.15609144813253,0.724220286597359,,2.44743903517825
13,Uncultured Desulfocapsaceae,0.733000193258055,0.646511156480315,0.628687077466305,,1.0722351457114,0.574478671913873,0.933488098900792,1.97614397827839,,3.37808878879737,0.036824375008524,1.12247081117428,0.670132059567294,,0.345000442308259
14,Uncultured Sandaracinaceae,1.38593633527512,2.11690775089411,0.952873075337873,,0.66260198441495,1.00345290330363,0.98173579839454,0.710017931945725,,0.615614796574376,0.113200856507685,1.09343480652852,1.44141612812588,,0.889776781765105
15,Silicimonas,0.654316556693631,0.948409423280193,1.32750167629382,,0.492373634273545,1.39699341083518,1.10130618409644,0.916199008298062,,1.44318810538702,0.414615185281161,0.553212299040284,1.49620679966283,,1.12567452009554
16,Acidobacteriota Subgroup 22,0.876563319621214,1.62098373948424,0.923960851618777,,1.36996520830931,0.776526288807467,1.17892204849943,0.529972484990163,,0.651460721438201,0.318462650536681,1.34558958371539,1.39505479067154,,0.323622209772064
17,Gemmatimonadota BD2-11,0.708152729079816,1.55654981683391,0.960254919691685,,1.34622818737326,0.828546011067384,1.15584706178502,0.605475414358624,,0.733282941236061,0.141842037069871,1.65352405403753,0.906153413880303,,0.412083861645976
18,Unkown Flavobacteriaceae,0.550095248612683,0.431490088759538,1.32811682998997,,0.52831826597671,1.65256856802521,0.925097194641009,1.49699077267084,,1.26785477724875,0.258452557930197,0.813772235466716,0.693312728294465,,0.712853478017279
19,Gemmatimonadota PAUC43f,0.825487976588167,1.644150992572,0.832918104588431,,1.0973285678438,0.76974110764313,0.942578245182222,0.802218624539904,,0.576651834765872,0.147979432904625,1.23326609205942,1.21382410789548,,0.305192698964999
20,Uncultured Desulfobulbaceae,1.6081830982027,1.53193461042816,0.554253480232036,,1.4330378639394,0.51341204143484,1.1425614633737,0.640322920220991,,0.409111098989301,0.120020185212968,1.23020967051776,0.802191626861478,,0.179872025476956
